Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region
SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East
TB-21520,Tracy Blumstein,,United States,Philadelphia,Pennsylvania,19140,East
LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East
JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East
HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East
PN-18775,Parhena Norris,Home-Office,United States,New York City,New York,10009,East
CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East
RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East
SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East
DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East
JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East
MG-17680,Maureen Gastineau,Home-Office,United States,Newark,Ohio,43055,East
EM-13960,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,19134,East
JK-15640,Jim Kriz,Home-Office,United States,New York City,New York,10009,East
SK-19990,Sally Knutson,Consumer,United States,Fairfield,Connecticut,6824,East
MP-17470,Mark Packer,Home-Office,United States,New York City,New York,10035,East
CB-12025,Cassandra Brandow,Consumer,United States,Hamilton,Ohio,45011,East
VM-21685,Valerie Mitchum,Home-Office,United States,Westfield,New Jersey,7090,East
FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East
MB-17305,Maria Bertelson,Consumer,United States,Akron,Ohio,44312,East
VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East
JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,East
DL-13315,Delfina Latchford,Consumer,United States,New York City,New York,10024,East
CC-12670,Craig Carreira,Consumer,United States,New York City,New York,10009,East
CA-12310,Christine Abelman,Corporate,United States,Cincinnati,Ohio,45231,East
AG-10495,Andrew Gjertsen,Corporate,United States,Philadelphia,Pennsylvania,19140,East
NZ-18565,Nick Zandusky,Home-Office,United States,Columbus,Ohio,43229,East
AS-10225,Alan Schoenberger,Corporate,United States,New York City,New York,10024,East
CR-12625,Corey Roper,Home-Office,United States,Lakewood,New Jersey,8701,East
TS-21205,Thomas Seio,Corporate,United States,Hackensack,New Jersey,7601,East
SP-20860,Sung Pak,Corporate,United States,Philadelphia,Pennsylvania,19143,East
NM-18445,Nathan Mautz,Home-Office,United States,New York City,New York,10024,East
PO-18850,Patrick OBrill,Consumer,United States,Philadelphia,Pennsylvania,19143,East
JL-15850,John Lucas,,United States,Philadelphia,Pennsylvania,19134,East
TD-20995,Tamara Dahlen,Consumer,United States,Lowell,Massachusetts,1852,East
AB-10060,Adam Bellavance,Home-Office,United States,New York City,New York,10009,East
JL-15505,Jeremy Lonsdale,Consumer,United States,New York City,New York,10035,East
KW-16435,Katrina Willman,Consumer,United States,New York City,New York,10009,East
MK-17905,Michael Kennedy,Corporate,United States,Manchester,Connecticut,6040,East
AR-10405,Allen Rosenblatt,,United States,Franklin,Massachusetts,2038,East
DK-13225,Dean Katz,Corporate,United States,Philadelphia,Pennsylvania,19140,East
NG-18430,Nathan Gelder,Consumer,United States,Cincinnati,Ohio,45231,East
MV-18190,Mike Vittorini,Consumer,United States,New York City,New York,10009,East
SS-20140,Saphhira Shifley,Corporate,United States,Warwick,Rhode Island,2886,East
RF-19840,Roy Franzosisch,Consumer,United States,New York City,New York,10024,East
MP-17965,Michael Paige,Corporate,United States,Lawrence,Massachusetts,1841,East
SD-20485,Shirley Daniels,Home-Office,United States,New Rochelle,New York,10801,East
RB-19360,Raymond Buch,Consumer,United States,Auburn,New York,13021,East
EB-13705,Ed Braxton,Corporate,United States,Akron,Ohio,44312,East
MH-17785,Maya Herman,Corporate,United States,Lindenhurst,New York,11757,East
JE-15475,Jeremy Ellison,Consumer,United States,Troy,New York,12180,East
JG-15805,John Grady,Corporate,United States,New York City,New York,10024,East
EM-14065,Erin Mull,Consumer,United States,New York City,New York,10024,East
AJ-10960,Astrea Jones,Consumer,United States,Rochester,New York,14609,East
BD-11605,Brian Dahlen,Consumer,United States,Lawrence,Massachusetts,1841,East
MG-18145,Mike Gockenbach,Consumer,United States,Philadelphia,Pennsylvania,19134,East
